Cross Section (without Fins) [m^2],Dry Air Mean Density @300 K - Sea-Level [kg/m^3],Angle of Attack [deg],Cross Section (with Fins) [m^2],
"0,00817128249199","1,176655",0,"0,01071069600000",
,,,,
,,,,
Mach [-],Velocità [m/s],Drag [N],Drag Coefficient [-],Computer
,,,,
"0,1","34,71","2,06269667702360","0,35613673083187",Edoardo
"0,2","69,42","6,42006687437582","0,27711559021628",Edoardo
"0,3","104,13","13,65779336938510","0,26201094126122",Edoardo
"0,4","138,84","23,13402465232720","0,24963910115932",Edoardo
"0,5","173,55","35,27629724601900","0,24362642005472",Edoardo
"0,6","208,26","50,00089471023980","0,23980413842509",Edoardo
"0,7","242,97","68,56825387680180","0,24160638586732",Edoardo
"0,8","277,68","94,84132413617080","0,25585801936685",Edoardo
"0,9","312,39","199,79052409021800","0,42586433056268",Edoardo
"1,0","347,10","377,04096513093600","0,65098343448725",Edoardo
"1,1","381,81","463,34262907934000","0,66114738890173",Edoardo
"1,2","416,52","513,43968744655600","0,61561379348754",Edoardo
